customer_id,display_name,structure,is_company,jurisdiction,pep_level,cash_intensive_business,primary_matter_type,designated_service,delivery_channel,occupation,declared_annual_income_aud,onboarded_date,customer_type_score,jurisdiction_score,service_score,channel_score
CUST-10000,Allison Hill,Individual,False,Canada,Not a PEP,True,Company Formation,Item 7 - Acting as director/secretary for a client entity,Remote (video/email only),Nurse,56000.0,2025-09-13,2,0,1,1
CUST-10001,Noah Rhodes,Individual,False,United Arab Emirates,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Remote (video/email only),Engineer,111000.0,2025-08-01,0,1,0,1
CUST-10002,Angie Henderson,Individual,False,Singapore,Not a PEP,False,Residential Conveyancing,Item 3 - Managing client money in a transaction,Remote (video/email only),Small Business Owner,202000.0,2026-05-12,0,0,0,1
CUST-10003,Davis and Sons,Family Trust,True,Singapore,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Remote (video/email only),Small Business Owner,171000.0,2025-12-16,1,0,0,1
CUST-10004,Alyssa Gonzalez,Individual,False,Canada,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Face-to-face,Teacher,56000.0,2026-07-22,0,0,2,0
CUST-10005,"Miles, Barnes and Cole",Pty Ltd Company - multi-layer ownership,True,New Zealand,Not a PEP,False,Debt Financing Transaction,Item 4 - Assisting with debt financing,Face-to-face,Accountant,113000.0,2026-04-03,1,0,1,0
CUST-10006,Sean Blake,Individual,False,Canada,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Face-to-face,Investment Manager,414000.0,2026-05-22,0,0,0,0
CUST-10007,Jay Ramirez,Individual,False,United Kingdom,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Face-to-face,Tradesperson,95000.0,2025-02-28,0,0,0,0
CUST-10008,Bernard LLC,Pty Ltd Company - simple,True,Australia,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Remote (video/email only),Real Estate Agent,109000.0,2025-06-04,0,0,2,1
CUST-10009,James Howard,Individual,False,Canada,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Via intermediary/referrer,Import/Export Trader,540000.0,2025-03-22,0,0,2,1
CUST-10010,Munoz-Roman,Foreign-incorporated entity,True,Singapore,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Via intermediary/referrer,Accountant,97000.0,2025-08-17,1,0,2,1
CUST-10011,"Stevens, Martinez and Nielsen",Pty Ltd Company - simple,True,United States,Not a PEP,False,Commercial Conveyancing,Item 3 - Managing client money in a transaction,Remote (video/email only),Engineer,191000.0,2026-04-14,0,0,0,1
CUST-10012,Arnold Ltd,Discretionary Trust,True,United Kingdom,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Via intermediary/referrer,Investment Manager,491000.0,2025-03-12,0,0,0,1
CUST-10013,"Mcclure, Ward and Lee",Pty Ltd Company - multi-layer ownership,True,Cyprus,Not a PEP,True,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Face-to-face,Teacher,80000.0,2025-09-19,2,1,2,0
CUST-10014,Matthew Mejia,Individual,False,Canada,Not a PEP,False,Company Formation,Item 7 - Acting as director/secretary for a client entity,Remote (video/email only),Property Developer,312000.0,2025-04-26,0,0,1,1
CUST-10015,Wyatt Inc,Family Trust,True,New Zealand,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Face-to-face,Small Business Owner,103000.0,2026-05-04,0,0,0,0
CUST-10016,Jesse Flowers,Individual,False,Germany,Not a PEP,False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Property Developer,527000.0,2026-05-15,0,0,2,0
CUST-10017,Henry Santiago,Individual,False,Australia,Not a PEP,False,Trust Establishment,Item 7 - Acting as trustee for a client entity,Face-to-face,IT Consultant,203000.0,2026-06-24,0,0,1,0
CUST-10018,Melinda Jones,Individual,False,Japan,Not a PEP,False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Engineer,178000.0,2025-04-12,0,0,2,0
CUST-10019,Kimberly Sanchez,Individual,False,United States,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Face-to-face,Teacher,74000.0,2025-03-27,0,0,2,0
CUST-10020,Gray-Mayo,Unit Trust,True,New Zealand,Not a PEP,False,Commercial Conveyancing,Item 3 - Managing client money in a transaction,Remote (video/email only),Teacher,92000.0,2025-01-08,0,0,0,1
CUST-10021,"Watts, Robinson and Nguyen",Foreign-incorporated entity,True,United Arab Emirates,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Face-to-face,Administrator,81000.0,2025-12-22,1,1,2,0
CUST-10022,Perez Inc,Pty Ltd Company - simple,True,Canada,Not a PEP,False,Commercial Conveyancing,Item 3 - Managing client money in a transaction,Face-to-face,Engineer,220000.0,2026-06-09,0,0,0,0
CUST-10023,Morales-Jones,Unit Trust,True,Canada,Not a PEP,False,Commercial Conveyancing,Item 3 - Managing client money in a transaction,Remote (video/email only),Nurse,67000.0,2025-10-18,0,0,0,1
CUST-10024,"Walter, Edwards and Rios",Foreign-incorporated entity,True,Australia,Not a PEP,False,Commercial Conveyancing,Item 3 - Managing client money in a transaction,Via intermediary/referrer,Teacher,89000.0,2025-02-03,1,0,0,1
CUST-10025,Thomas Ellis,Individual,False,United States,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Face-to-face,Teacher,50000.0,2025-06-16,0,0,0,0
CUST-10026,Taylor-Mcgee,Pty Ltd Company - simple,True,Panama,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Face-to-face,Administrator,66000.0,2026-08-14,0,1,0,0
CUST-10027,Nicole Patterson,Individual,False,Cyprus,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Face-to-face,Retail Manager,63000.0,2026-07-14,0,1,2,0
CUST-10028,"Ross, Robinson and Bright",Pty Ltd Company - multi-layer ownership,True,United States,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Remote (video/email only),Tradesperson,82000.0,2025-12-24,1,0,2,1
CUST-10029,Ann Williams,Individual,False,United Kingdom,Not a PEP,True,Debt Financing Transaction,Item 4 - Assisting with debt financing,Remote (video/email only),Administrator,88000.0,2025-12-12,2,0,1,1
CUST-10030,Hernandez and Sons,Pty Ltd Company - simple,True,New Zealand,Not a PEP,False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Accountant,139000.0,2026-01-02,0,0,2,0
CUST-10031,Jennifer Brown,Individual,False,Democratic People's Republic of Korea,Not a PEP,False,Commercial Conveyancing,Item 3 - Managing client money in a transaction,Via intermediary/referrer,Administrator,70000.0,2024-09-27,0,2,0,1
CUST-10032,Carlson-Mcdonald,Unit Trust,True,Australia,Not a PEP,False,Company Formation,Item 7 - Acting as director/secretary for a client entity,Face-to-face,Company Director,261000.0,2025-10-06,0,0,1,0
CUST-10033,Maddox-Valencia,Family Trust,True,New Zealand,Not a PEP,False,Business Sale & Purchase,Item 3 - Managing client money in a transaction,Face-to-face,Tradesperson,91000.0,2024-10-06,0,0,0,0
CUST-10034,Nathan Maldonado,Individual,False,New Zealand,Not a PEP,False,Debt Financing Transaction,Item 4 - Assisting with debt financing,Remote (video/email only),Retail Manager,70000.0,2024-10-10,0,0,1,1
CUST-10035,"Potter, Mack and Peterson",Family Trust,True,Canada,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Remote (video/email only),Import/Export Trader,374000.0,2025-10-16,0,0,0,1
CUST-10036,Graham-Chavez,Pty Ltd Company - simple,True,Singapore,Not a PEP,False,Trust Establishment,Item 7 - Acting as trustee for a client entity,Face-to-face,IT Consultant,177000.0,2025-11-06,0,0,1,0
CUST-10037,"Liu, Baker and Mason",Unit Trust,True,Singapore,Not a PEP,False,Trust Establishment,Item 7 - Acting as trustee for a client entity,Remote (video/email only),Nurse,52000.0,2025-04-24,1,0,1,1
CUST-10038,Romero Inc,Foreign-incorporated entity,True,New Zealand,Not a PEP,False,Trust Establishment,Item 7 - Acting as trustee for a client entity,Remote (video/email only),Public Servant,57000.0,2024-10-21,1,0,1,1
CUST-10039,Elizabeth Fowler,Individual,False,New Zealand,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Face-to-face,Small Business Owner,152000.0,2025-05-05,0,0,2,0
CUST-10040,"Gonzalez, Brooks and Martin",Unit Trust,True,Singapore,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Face-to-face,Property Developer,561000.0,2025-04-24,0,0,2,0
CUST-10041,"Sellers, George and Burns",Discretionary Trust,True,United States,Not a PEP,False,Nominee Shareholder Arrangement,Item 8 - Acting as nominee shareholder,Face-to-face,Public Servant,49000.0,2025-11-18,1,0,2,0
CUST-10042,Hickman LLC,Pty Ltd Company - multi-layer ownership,True,New Zealand,Not a PEP,False,Company Formation,Item 7 - Acting as director/secretary for a client entity,Remote (video/email only),Public Servant,62000.0,2025-05-03,1,0,1,1
CUST-10043,Brown PLC,Family Trust,True,Cambodia,Not a PEP,False,Residential Conveyancing,Item 3 - Managing client money in a transaction,Remote (video/email only),Accountant,155000.0,2025-10-22,0,1,0,1
CUST-10044,Miller Group,Family Trust,True,Japan,Not a PEP,False,Trust Establishment,Item 7 - Acting as trustee for a client entity,Face-to-face,Public Servant,46000.0,2025-05-02,0,0,1,0
CUST-10045,Vanessa Patel,Individual,False,Australia,Not a PEP,False,Residential Conveyancing,Item 3 - Managing client money in a transaction,Face-to-face,Public Servant,54000.0,2025-11-30,0,0,0,0
CUST-10046,Anderson Group,Family Trust,True,Germany,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Face-to-face,Property Developer,316000.0,2026-08-04,1,0,0,0
CUST-10047,"Martin, Rose and Obrien",Unit Trust,True,Panama,Not a PEP,False,Residential Conveyancing,Item 3 - Managing client money in a transaction,Remote (video/email only),Investment Manager,539000.0,2025-04-26,1,1,0,1
CUST-10048,Tanya Campos,Individual,False,United States,Not a PEP,False,Debt Financing Transaction,Item 4 - Assisting with debt financing,Face-to-face,Small Business Owner,192000.0,2026-03-09,0,0,1,0
CUST-10049,"Harris, Collins and Carney",Pty Ltd Company - simple,True,United Arab Emirates,Not a PEP,False,Estate Administration,Item 3 - Managing client money in a transaction,Face-to-face,Small Business Owner,169000.0,2024-11-19,0,1,0,0
CUST-10050,Jessica Holmes,Individual,False,Panama,Not a PEP,False,Commercial Conveyancing,Item 3 - Managing client money in a transaction,Remote (video/email only),Small Business Owner,138000.0,2025-06-11,0,1,0,1
CUST-10051,Wright Inc,Pty Ltd Company - multi-layer ownership,True,Panama,Domestic PEP (low profile),False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Property Developer,489000.0,2025-06-04,1,1,2,0
CUST-10052,Kevin Hall,Individual,False,Canada,Not a PEP,False,Nominee Director Arrangement,Item 7 - Acting as director for a client entity,Face-to-face,Engineer,129000.0,2026-05-27,0,0,2,0
